sample_id,url_len,num_subdomains,has_ip,is_https,count_at,count_dash,count_double_slash,domain_entropy,tld_type,num_params,has_suspicious_params
441,32,1,0,0,0,1,0,2.9477027792200903,io,0,0
442,85,0,0,0,0,0,0,3.6901165175936654,com,0,0
443,17,0,0,0,0,0,0,3.121928094887362,com,0,0
444,24,0,0,0,0,0,0,3.039148671903071,hu,0,0
445,41,1,0,0,0,1,0,2.9477027792200903,io,0,0
446,48,0,0,0,0,0,0,3.6402239289418516,com,0,0
447,41,1,0,0,0,1,0,3.277613436819116,com,0,0
448,40,1,0,0,0,1,0,3.277613436819116,com,0,0
449,44,1,0,0,0,1,0,2.9477027792200903,io,0,0
450,79,0,0,0,0,0,0,3.625,com,1,0
451,31,0,0,0,0,0,0,3.740601562950723,com,0,0
452,45,0,0,0,0,1,0,3.6168746059562227,net,1,0
453,18,0,0,0,0,0,0,3.095795255000934,com,0,0
454,22,0,0,0,0,0,0,3.4565647621309536,com,0,0
455,21,0,0,0,0,0,0,2.521640636343318,now,0,0
456,46,0,0,0,0,1,0,3.7336606896881857,ro,0,0
457,37,1,0,0,0,2,0,3.3735572622751855,com,0,0
458,20,0,0,0,0,0,0,3.085055102756477,app,0,0
459,45,0,0,0,0,0,0,3.788754913993503,com,0,0
460,20,0,0,0,0,0,0,3.7004397181410926,com,0,0
461,21,0,0,0,0,0,0,3.0,cx,0,0
462,18,0,0,0,0,0,0,3.095795255000934,cc,0,0
463,45,1,0,0,0,3,0,2.9477027792200903,io,0,0
464,49,4,0,0,0,0,0,3.6835423624332306,com.br,0,0
465,31,0,0,0,0,0,0,3.4701755214643453,com,0,0
466,79,1,0,0,0,0,0,3.11583409216322,com,0,0
467,53,1,0,0,0,0,0,2.8423709931771084,net,0,0
468,33,0,0,0,0,0,0,3.182005814760214,com,0,0
469,21,0,0,0,0,0,0,3.182005814760214,com,0,0
470,18,0,0,0,0,0,0,3.2776134368191165,com,0,0
471,25,1,0,0,0,0,0,2.6635327548042547,dev,0,0
472,26,1,0,0,0,0,0,2.9477027792200903,hu,0,0
473,17,0,0,0,0,0,0,3.1219280948873624,com,0,0
474,25,1,0,0,0,0,0,2.9477027792200903,io,0,0
475,28,0,0,0,0,0,0,3.2776134368191165,com,0,0
476,17,0,0,0,0,1,0,3.121928094887362,pt,0,0
477,20,1,0,0,0,0,0,2.9139770731827523,top,0,0
478,19,0,0,0,0,0,0,3.0220552088742005,com,0,0
479,39,1,0,0,0,2,0,3.452819531114783,com,0,0
